epoch,train_loss,train_acc,test_loss,test_acc,epoch_time_sec
1,2.0004098,28.908253,1.5173409,43.53,102.07400369644165
2,1.3833592,48.810097,1.4090003,49.14,101.45681977272034
3,1.1060107,60.054085,1.2118385,57.62,99.64452648162842
4,0.89292026,68.36939,1.1026938,63.01,100.78730130195618
5,0.7453883,73.80809,0.8024725,73.14,99.50813007354736
6,0.60980934,78.65385,0.6928348,75.96,99.54022240638733
7,0.5058729,82.2516,0.56927264,80.65,100.16825461387634
8,0.43149516,84.87781,0.64893615,77.87,100.55901718139648
9,0.36601523,87.239586,0.43185118,85.52,98.33917021751404
10,0.32337463,88.8141,0.39902502,86.44,100.2385482788086
